trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.9766283740319591, 'e': 0.9940771174948215}",20,0,-40.440858574710276,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 0.975935728094027, 'e': 0.9937221665758563}",25,0,-102.43654517126662,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
109,False,"{'a': 0.9752228163406075, 'e': 0.9933460569763986}",20,0,-45.19333311006015,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
110,False,"{'a': 0.9744890616750878, 'e': 0.9929475362198125}",25,0,-194.2740607785699,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 4}",0
111,False,"{'a': 0.9737338715318243, 'e': 0.9925252787763006}",20,0,-77.19604799737837,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
112,False,"{'a': 0.9729566375210109, 'e': 0.9920778819365729}",20,0,-132.04678557514893,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
113,False,"{'a': 0.9721567350692207, 'e': 0.9916038614692774}",20,0,-110.18263486790683,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
114,False,"{'a': 0.971333523055851, 'e': 0.991101647053015}",20,0,-20.425141657150416,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.9704863434457236, 'e': 0.9905695774736641}",30,0,-138.08966783906087,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
116,False,"{'a': 0.969614520918125, 'e': 0.9900058955776941}",20,0,-73.12713006297442,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
117,False,"{'a': 0.9687173624925947, 'e': 0.9894087429721529}",30,0,-94.75699581428584,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.9677941571518075, 'e': 0.988776154462091}",25,0,-234.04974942951407,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
119,False,"{'a': 0.9668441754619255, 'e': 0.9881060522163372}",30,0,-198.89459062380206,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
120,False,"{'a': 0.9658666691908321, 'e': 0.987396239652783}",20,0,-139.7655057344974,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
121,False,"{'a': 0.964860870924699, 'e': 0.9866443950346884}",20,0,-110.87080525329051,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
122,False,"{'a': 0.963825993683377, 'e': 0.9858480647699881}",35,0,-165.28936138952963,"{0: 18, 1: 5, 2: 10, 3: 1, 4: 1}",0
123,False,"{'a': 0.9627612305351437, 'e': 0.9850046564061958}",25,0,-92.36190534520469,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
124,False,"{'a': 0.9616657542113878, 'e': 0.9841114313142731}",25,0,-130.68060066638304,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
125,False,"{'a': 0.9605387167218551, 'e': 0.9831654970557923}",20,0,-135.71967732405693,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
126,False,"{'a': 0.9593792489711362, 'e': 0.9821637994288868}",25,0,-156.78047768577918,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
127,False,"{'a': 0.9581864603771255, 'e': 0.9811031141898926}",20,0,-199.52815917532223,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
128,False,"{'a': 0.9569594384922391, 'e': 0.9799800384492581}",25,0,-202.97824742942336,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
129,False,"{'a': 0.9556972486282416, 'e': 0.9787909817422831}",20,0,-146.88548700115354,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
130,False,"{'a': 0.9543989334855905, 'e': 0.977532156777575}",20,0,-157.76006071608853,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
131,False,"{'a': 0.9530635127882773, 'e': 0.9761995698688212}",30,0,-161.5376191926749,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
132,False,"{'a': 0.9516899829252131, 'e': 0.9747890110586283}",25,0,-130.66857811635592,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
133,False,"{'a': 0.9502773165992795, 'e': 0.973296043946812}",20,0,-124.96191328289957,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
134,False,"{'a': 0.948824462485245, 'e': 0.9717159952397009}",30,0,-155.8137977531574,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
135,False,"{'a': 0.9473303448978286, 'e': 0.9700439440417997}",20,0,-55.593496252328805,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
136,False,"{'a': 0.9457938634712757, 'e': 0.9682747109166207}",25,0,-124.81100595346993,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
137,False,"{'a': 0.9442138928519043, 'e': 0.966402846749687}",20,0,-116.0643707983748,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
138,False,"{'a': 0.9425892824051723, 'e': 0.9644226214537531}",20,0,-86.73487559437365,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
139,False,"{'a': 0.9409188559389161, 'e': 0.9623280125642159}",20,0,-118.53015204794116,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
140,False,"{'a': 0.9392014114445122, 'e': 0.9601126937816427}",25,0,-83.16270162500791,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
141,False,"{'a': 0.9374357208578246, 'e': 0.9577700235283776}",20,0,-180.77643269488362,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
142,False,"{'a': 0.9356205298419101, 'e': 0.9552930335974298}",35,6,-239.09492655894147,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 4}",1
143,False,"{'a': 0.9337545575935753, 'e': 0.9526744179843983}",20,0,-145.000282587542,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
144,False,"{'a': 0.9318364966759958, 'e': 0.9499065220071553}",35,0,-157.20347462530827,"{0: 20, 1: 5, 2: 5, 3: 5, 4: 0}",0
145,False,"{'a': 0.9298650128797434, 'e': 0.9469813318335116}",25,0,-147.25370225734258,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
146,False,"{'a': 0.9278387451146914, 'e': 0.9438904645542427}",30,0,-119.4193004799572,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
147,False,"{'a': 0.925756305335413, 'e': 0.940625158957769}",20,0,-101.39651986612157,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
148,False,"{'a': 0.9236162785028252, 'e': 0.9371762671835838}",25,0,-144.46197586221052,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
149,False,"{'a': 0.9214172225849829, 'e': 0.9335342474543068}",25,0,-130.19079327142612,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
150,False,"{'a': 0.9191576686000756, 'e': 0.9296891581111086}",20,0,-154.73336915043376,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
151,False,"{'a': 0.9168361207048432, 'e': 0.9256306532042948}",25,0,-161.50597043294283,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
152,False,"{'a': 0.9144510563317836, 'e': 0.9213479799201039}",20,0,-81.04864233220596,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
153,False,"{'a': 0.9120009263786981, 'e': 0.9168299781563172}",20,0,-66.22217853929155,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.9094841554542878, 'e': 0.9120650825930889}",25,0,-42.38156310476,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
155,False,"{'a': 0.9068991421836925, 'e': 0.907041327641442}",20,0,-66.50691244404324,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
156,False,"{'a': 0.9042442595780441, 'e': 0.9017463556900359}",20,0,-78.88247370596794,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
157,False,"{'a': 0.9015178554722902, 'e': 0.8961674291109356}",20,0,-26.328575593369003,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
158,False,"{'a': 0.8987182530357288, 'e': 0.8902914465269176}",25,2,-44.19515878241167,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.8958437513598873, 'e': 0.8841049638860047}",20,5,-0.36083262484413403,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.8928926261285698, 'e': 0.8775942209329138}",20,0,-88.28008971432605,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
161,False,"{'a': 0.8898631303750918, 'e': 0.8707451737113162}",30,0,-91.18062541402892,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
162,False,"{'a': 0.8867534953319124, 'e': 0.8635435337744204}",25,0,-128.4089130744498,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
163,False,"{'a': 0.8835619313780747, 'e': 0.855974814823402}",20,0,-60.01799172063046,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
164,False,"{'a': 0.8802866290900532, 'e': 0.8480243875323606}",20,0,-67.85225730634647,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.8769257604018023, 'e': 0.8396775433532784}",25,0,-59.67052994884761,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.8734774798799887, 'e': 0.8309195681230762}",35,0,-156.05370236191462,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
167,False,"{'a': 0.8699399261205744, 'e': 0.8217358263151531}",30,0,-79.50976280355917,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
168,False,"{'a': 0.8663112232730962, 'e': 0.8121118567872335}",30,18,-4.700899805638725,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.8625894826991608, 'e': 0.8020334808730059}",20,0,-72.2206001020792,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
170,False,"{'a': 0.8587728047718346, 'e': 0.7914869236435376}",20,4,-155.02122637044317,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 3}",1
